name,phone,cpf,birthdate,released_value
João Silva,+55 11 91234-5678,12345678900,1990-01-01,1000.505
Maria Santos,21 91234-5678,65432100,1985-03-15,200.9999
Carlos Pereira,11 98765-4321,11122233344,2000-07-30,300
Ana Costa,47 1234-5678,22233344455,1992-10-10,50.7
Pedro Almeida,+55 62 91234-5678,33344455566,1980-05-22,0
Fernanda Souza,21 99876-5432,44455566677,1995-12-05,150.333
Bruno Oliveira,92 2345-6789,55566677788,1988-02-13,900.9
Clara Martins,71 93456-7890,66677788899,1993-08-30,180.0
Gabriel Rocha,85 12345-6789,77788899911,1986-04-04,1000.004
Luiza Ferreira,+55 31 91234-5678,88899911122,1977-09-17,120
Henrique Lima,19 98765-4321,99911122233,1998-11-09,430.2
Mariana Monteiro,48 99876-5432,11122233300,1983-02-28,0.12345
Lucas Mendes,41 91234-5678,22233344411,1975-07-23,950.45678
Isabela Dias,+55 21 91234-5678,33344455522,1990-06-11,620
Ricardo Moreira,27 98765-4321,44455566633,1992-10-15,800
Julia Carvalho,67 99876-5432,55566677744,1985-01-02,310.000
Thiago Correia,+55 35 91234-5678,66677788855,1980-12-12,150.25
Sofia Batista,27 98765-4321,77788899966,1993-03-21,770.6
Eduardo Martins,16 93456-7890,88899911177,1997-08-05,410.8
Camila Silva,28 12345-6789,99911122288,1978-05-18,890.90123
Matheus Ribeiro,+55 49 91234-5678,11122233399,1986-09-27,250.00
Carolina Lopes,34 98765-4321,22233344400,1991-04-09,690.7
Diego Fonseca,53 99876-5432,33344455501,1989-01-31,480.30
Rafaela Almeida,12 91234-5678,44455566612,1994-02-19,350
Vinícius Gonçalves,42 98765-4321,55566677723,1982-11-06,920.6
Amanda Teixeira,32 99876-5432,66677788834,1979-12-14,500
Gustavo Barreto,+55 54 91234-5678,77788899945,1995-06-28,100.1234
Letícia Torres,62 98765-4321,88899911156,1990-07-03,750.0000
Rafael Souza,84 99876-5432,99911122267,1987-08-26,660.404
Larissa Barros,+55 24 91234-5678,11122233378,1996-05-12,800
Felipe Castro,19 98765-4321,22233344489,1974-09-07,250.2
